Database	ID	Name	Category	Genes	Metabolites	Associated_Metabolite_Sets
SMPDB	SMP0000120	Naproxen Action Pathway	Drug Action	PTGS1;PTGS2;CYP4F2;LTA4H;LTC4S;GGT1;GPX1;PTGIS;PTGDS;AKR1C3;TBXAS1;PTGES;CBR1;ALOX15;CYP2C8;CYP2B6;EPHX2;ALOX5;ALOX15B;CYP2E1;ALOX12B;CYP2J2;CYP2U1;CYP4A11;ALOX12;PLA2G4B;CYP4F8;CYP4F3	HMDB0001923;HMDB0003178;HMDB0001509;HMDB0006059;HMDB0001085;HMDB0000221;HMDB0001377;HMDB0000217;HMDB0002111;HMDB0001337;HMDB0001303;HMDB0004234;HMDB0000125;HMDB0001198;HMDB0003080;HMDB0000148;HMDB0061111;HMDB0004244;HMDB0003876;HMDB0003337;HMDB0004238;HMDB0005079;HMDB0002886;HMDB0004241;HMDB0011134;HMDB0010217;HMDB0002710;HMDB0001335;HMDB0001403;HMDB0001381;HMDB0011137;HMDB0001452;HMDB0001220;HMDB0001139;HMDB0002752;HMDB0060095;HMDB0003252;HMDB0004236;HMDB0004242;HMDB0001043;HMDB0012943;HMDB0004693;HMDB0004694;HMDB0005050;HMDB0004684;HMDB0004680;HMDB0004264;HMDB0002265;HMDB0000547;HMDB0004673;HMDB0002314;HMDB0011135;HMDB0000464;HMDB0003235;HMDB0002232;HMDB0002311;HMDB0002190;HMDB0002343;HMDB0004699;HMDB0011136;HMDB0004692;HMDB0004679;HMDB0004659;HMDB0005998;HMDB0004243;HMDB0061119;HMDB0013633;HMDB0061118;HMDB0007883;HMDB0010379;HMDB0061377;HMDB0061378	
SMPDB	SMP0000289	Diflunisal Action Pathway	Drug Action	PTGS1;PTGS2;CYP4F2;LTA4H;LTC4S;GGT1;GPX1;PTGIS;PTGDS;AKR1C3;TBXAS1;PTGES;CBR1;ALOX15;CYP2C8;CYP2B6;EPHX2;ALOX5;ALOX15B;CYP2E1;ALOX12B;CYP2J2;CYP2U1;CYP4A11;ALOX12;PLA2G4B;CYP4F8;CYP4F3	HMDB0014999;HMDB0003178;HMDB0001509;HMDB0006059;HMDB0001085;HMDB0000221;HMDB0001377;HMDB0000217;HMDB0002111;HMDB0001337;HMDB0001303;HMDB0004234;HMDB0000125;HMDB0001198;HMDB0003080;HMDB0000148;HMDB0061111;HMDB0004244;HMDB0003876;HMDB0003337;HMDB0004238;HMDB0005079;HMDB0002886;HMDB0004241;HMDB0011134;HMDB0010217;HMDB0002710;HMDB0001335;HMDB0001403;HMDB0001381;HMDB0011137;HMDB0001452;HMDB0001220;HMDB0001139;HMDB0002752;HMDB0060095;HMDB0003252;HMDB0004236;HMDB0004242;HMDB0001043;HMDB0012943;HMDB0004693;HMDB0004694;HMDB0005050;HMDB0004684;HMDB0004680;HMDB0004264;HMDB0002265;HMDB0000547;HMDB0004673;HMDB0002314;HMDB0011135;HMDB0000464;HMDB0003235;HMDB0002232;HMDB0002311;HMDB0002190;HMDB0002343;HMDB0004699;HMDB0011136;HMDB0004692;HMDB0004679;HMDB0004659;HMDB0005998;HMDB0004243;HMDB0061119;HMDB0013633;HMDB0061118;HMDB0007883;HMDB0010379;HMDB0061377;HMDB0061378	
SMPDB	SMP0000427	Azathioprine Action Pathway	Drug Action	HPRT1;IMPDH1;GMPS;TPMT;RAC1;AOX1;PPAT;SLC29A2;SLC28A3;SLC29A1;SLC28A2;ABCC5;ABCC4;XDH;ADK;NUDT2;NME6;ENTPD5;ENTPD8;GUK1;NT5C2;DGUOK;APRT;PNP;GDA;NUDT5;PRPS1L1;GART;PFAS;PAICS;ADSL;ATIC;ITPA;GMPR;ADSS;AMPD1;ADA;AK1;ATAD1;PDE4D;ADCY10;GUCY1A2;GUCY1B3;PDE10A;TXN;RRM1;RRM2	HMDB0015167;HMDB0015128;HMDB0060659;HMDB0000280;HMDB0060416;HMDB0000547;HMDB0000902;HMDB0002111;HMDB0060876;HMDB0001487;HMDB0000586;HMDB0000641;HMDB0000538;HMDB0060415;HMDB0000045;HMDB0000250;HMDB0001185;HMDB0061327;HMDB0000939;HMDB0060874;HMDB0061340;HMDB0061341;HMDB0060875;HMDB0060804;HMDB0001248;HMDB0002206;HMDB0060412;HMDB0061269;HMDB0061338;HMDB0061339;HMDB0000588;HMDB0001341;HMDB0001429;HMDB0060601;HMDB0061344;HMDB0001340;HMDB0001273;HMDB0001397;HMDB0001201;HMDB0000464;HMDB0000960;HMDB0001440;HMDB0001044;HMDB0000085;HMDB0000132;HMDB0000133;HMDB0002142;HMDB0001489;HMDB0001351;HMDB0000292;HMDB0000051;HMDB0001303;HMDB0001178;HMDB0001548;HMDB0001128;HMDB0000148;HMDB0000123;HMDB0002022;HMDB0000972;HMDB0001846;HMDB0001308;HMDB0000999;HMDB0001235;HMDB0006273;HMDB0001967;HMDB0000191;HMDB0000797;HMDB0000134;HMDB0001517;HMDB0001439;HMDB0000175;HMDB0001554;HMDB0000217;HMDB0000221;HMDB0000299;HMDB0000195;HMDB0000157;HMDB0001377;HMDB0003125;HMDB0000289;HMDB0000071;HMDB0000536;HMDB0000050;HMDB0000034;HMDB0000101;HMDB0000058;HMDB0001508;HMDB0000905;HMDB0001532;HMDB0011629;HMDB0003178;HMDB0003335;HMDB0000189;HMDB0003192;HMDB0061376;HMDB0012943	
SMPDB	SMP0000428	Mercaptopurine Action Pathway	Drug Action	HPRT1;IMPDH1;GMPS;TPMT;RAC1;AOX1;PPAT;SLC29A2;SLC28A3;SLC29A1;SLC28A2;ABCC5;ABCC4;XDH;ADK;NUDT2;NME6;ENTPD5;ENTPD8;GUK1;NT5C2;DGUOK;APRT;PNP;GDA;NUDT5;PRPS1L1;GART;PFAS;PAICS;ADSL;ATIC;ITPA;GMPR;ADSS;AMPD1;ADA;AK1;ATAD1;PDE4D;ADCY10;GUCY1A2;GUCY1B3;PDE10A;TXN;RRM1;RRM2	HMDB0015167;HMDB0000280;HMDB0060416;HMDB0000547;HMDB0000902;HMDB0002111;HMDB0060876;HMDB0001487;HMDB0000586;HMDB0000641;HMDB0000538;HMDB0060415;HMDB0000045;HMDB0000250;HMDB0001185;HMDB0061327;HMDB0000939;HMDB0060874;HMDB0061340;HMDB0061341;HMDB0060875;HMDB0060804;HMDB0001248;HMDB0002206;HMDB0060412;HMDB0061269;HMDB0061338;HMDB0061339;HMDB0000588;HMDB0001341;HMDB0001429;HMDB0060601;HMDB0061344;HMDB0001340;HMDB0001273;HMDB0001397;HMDB0001201;HMDB0000464;HMDB0000960;HMDB0001440;HMDB0001044;HMDB0000085;HMDB0000132;HMDB0000133;HMDB0002142;HMDB0001489;HMDB0001351;HMDB0000292;HMDB0000051;HMDB0001303;HMDB0001178;HMDB0001548;HMDB0001128;HMDB0000148;HMDB0000123;HMDB0002022;HMDB0000972;HMDB0001846;HMDB0001308;HMDB0000999;HMDB0001235;HMDB0006273;HMDB0001967;HMDB0000191;HMDB0000797;HMDB0000134;HMDB0001517;HMDB0001439;HMDB0000175;HMDB0001554;HMDB0000217;HMDB0000221;HMDB0000299;HMDB0000195;HMDB0000157;HMDB0001377;HMDB0003125;HMDB0000289;HMDB0000071;HMDB0000536;HMDB0000050;HMDB0000034;HMDB0000101;HMDB0000058;HMDB0001508;HMDB0000905;HMDB0001532;HMDB0011629;HMDB0003178;HMDB0003335;HMDB0000189;HMDB0003192;HMDB0061376;HMDB0012943	
SMPDB	SMP0000432	Methotrexate Action Pathway	Drug Action	DHFR;FPGS;MTHFD1;ALDH1L1;FTCD;MTHFS;MTHFR;GGH;MTHFD1L;MTHFD2;MTFMT;SLC46A1	HMDB0014703;HMDB0000148;HMDB0000538;HMDB0001429;HMDB0001341;HMDB0000464;HMDB0001056;HMDB0001846;HMDB0000217;HMDB0000221;HMDB0000121;HMDB0000142;HMDB0000972;HMDB0002111;HMDB0001967;HMDB0001562;HMDB0003470;HMDB0001491;HMDB0059597;HMDB0001354;HMDB0000547;HMDB0001533;HMDB0001487;HMDB0001396;HMDB0000902;HMDB0001248;HMDB0001534;HMDB0000051;HMDB0006825;HMDB0006826	
SMPDB	SMP0000099	Lovastatin Action Pathway	Drug Action	HMGCR;ACAT2;HMGCS1;MVK;PMVK;MVD;IDI1;FDPS;GGPS1;FDFT1;SQLE;LSS;DHCR24;CYP51A1;TM7SF2;MSMO1;NSDHL;HSD17B7;EBP;SC5DL;SOAT1;LIPA	HMDB0014372;HMDB0001206;HMDB0001484;HMDB0001423;HMDB0002111;HMDB0001375;HMDB0000227;HMDB0000538;HMDB0001343;HMDB0001341;HMDB0001090;HMDB0001429;HMDB0001347;HMDB0001967;HMDB0001120;HMDB0000547;HMDB0001285;HMDB0000250;HMDB0000961;HMDB0000221;HMDB0000256;HMDB0000217;HMDB0001377;HMDB0001188;HMDB0001248;HMDB0001251;HMDB0006839;HMDB0001023;HMDB0000142;HMDB0003178;HMDB0001286;HMDB0006840;HMDB0006927;HMDB0015531;HMDB0006838;HMDB0001217;HMDB0006271;HMDB0006842;HMDB0006841;HMDB0001170;HMDB0003896;HMDB0000032;HMDB0000067;HMDB0002719;HMDB0000876;HMDB0002027;HMDB0061373;HMDB0061374	
SMPDB	SMP0000107	Zoledronate Action Pathway	Drug Action	FDPS;ACAT2;HMGCS1;MVK;PMVK;MVD;IDI1;GGPS1;FDFT1;SQLE;LSS;DHCR24;CYP51A1;TM7SF2;MSMO1;NSDHL;HSD17B7;EBP;SC5DL;HMGCR;SOAT1;LIPA	HMDB0014543;HMDB0000547;HMDB0001206;HMDB0001484;HMDB0001423;HMDB0002111;HMDB0001375;HMDB0000227;HMDB0000538;HMDB0001343;HMDB0001341;HMDB0001090;HMDB0001429;HMDB0001347;HMDB0001967;HMDB0001120;HMDB0001285;HMDB0000250;HMDB0000961;HMDB0000221;HMDB0000256;HMDB0000217;HMDB0001377;HMDB0001188;HMDB0001248;HMDB0001251;HMDB0006839;HMDB0001023;HMDB0000142;HMDB0003178;HMDB0001286;HMDB0006840;HMDB0006927;HMDB0015531;HMDB0006838;HMDB0001217;HMDB0006271;HMDB0006842;HMDB0006841;HMDB0001170;HMDB0003896;HMDB0000032;HMDB0000067;HMDB0002719;HMDB0000876;HMDB0002027;HMDB0061373;HMDB0061374	
SMPDB	SMP0000111	Cerivastatin Action Pathway	Drug Action	HMGCR;ACAT2;HMGCS1;MVK;PMVK;MVD;IDI1;FDPS;GGPS1;FDFT1;SQLE;LSS;DHCR24;CYP51A1;TM7SF2;MSMO1;NSDHL;HSD17B7;EBP;SC5DL;SOAT1;LIPA	HMDB0061389;HMDB0001206;HMDB0001484;HMDB0001423;HMDB0002111;HMDB0001375;HMDB0000227;HMDB0000538;HMDB0001343;HMDB0001341;HMDB0001090;HMDB0001429;HMDB0001347;HMDB0001967;HMDB0001120;HMDB0000547;HMDB0001285;HMDB0000250;HMDB0000961;HMDB0000221;HMDB0000256;HMDB0000217;HMDB0001377;HMDB0001188;HMDB0001248;HMDB0001251;HMDB0006839;HMDB0001023;HMDB0000142;HMDB0003178;HMDB0001286;HMDB0006840;HMDB0006927;HMDB0015531;HMDB0006838;HMDB0001217;HMDB0006271;HMDB0006842;HMDB0006841;HMDB0001170;HMDB0003896;HMDB0000032;HMDB0000067;HMDB0002719;HMDB0000876;HMDB0002027;HMDB0061373;HMDB0061374	
SMPDB	SMP0000112	Risedronate Action Pathway	Drug Action	FDPS;ACAT2;HMGCS1;MVK;PMVK;MVD;IDI1;GGPS1;FDFT1;SQLE;LSS;DHCR24;CYP51A1;TM7SF2;MSMO1;NSDHL;HSD17B7;EBP;SC5DL;HMGCR;SOAT1;LIPA	HMDB0015022;HMDB0000547;HMDB0001206;HMDB0001484;HMDB0001423;HMDB0002111;HMDB0001375;HMDB0000227;HMDB0000538;HMDB0001343;HMDB0001341;HMDB0001090;HMDB0001429;HMDB0001347;HMDB0001967;HMDB0001120;HMDB0001285;HMDB0000250;HMDB0000961;HMDB0000221;HMDB0000256;HMDB0000217;HMDB0001377;HMDB0001188;HMDB0001248;HMDB0001251;HMDB0006839;HMDB0001023;HMDB0000142;HMDB0003178;HMDB0001286;HMDB0006840;HMDB0006927;HMDB0015531;HMDB0006838;HMDB0001217;HMDB0006271;HMDB0006842;HMDB0006841;HMDB0001170;HMDB0003896;HMDB0000032;HMDB0000067;HMDB0002719;HMDB0000876;HMDB0002027;HMDB0061373;HMDB0061374	
SMPDB	SMP0000117	Pamidronate Action Pathway	Drug Action	FDPS;ACAT2;HMGCS1;MVK;PMVK;MVD;IDI1;GGPS1;FDFT1;SQLE;LSS;DHCR24;CYP51A1;TM7SF2;MSMO1;NSDHL;HSD17B7;EBP;SC5DL;HMGCR;SOAT1;LIPA	HMDB0014427;HMDB0000547;HMDB0001206;HMDB0001484;HMDB0001423;HMDB0002111;HMDB0001375;HMDB0000227;HMDB0000538;HMDB0001343;HMDB0001341;HMDB0001090;HMDB0001429;HMDB0001347;HMDB0001967;HMDB0001120;HMDB0001285;HMDB0000250;HMDB0000961;HMDB0000221;HMDB0000256;HMDB0000217;HMDB0001377;HMDB0001188;HMDB0001248;HMDB0001251;HMDB0006839;HMDB0001023;HMDB0000142;HMDB0003178;HMDB0001286;HMDB0006840;HMDB0006927;HMDB0015531;HMDB0006838;HMDB0001217;HMDB0006271;HMDB0006842;HMDB0006841;HMDB0001170;HMDB0003896;HMDB0000032;HMDB0000067;HMDB0002719;HMDB0000876;HMDB0002027;HMDB0061373;HMDB0061374	
SMPDB	SMP0000119	Fluvastatin Action Pathway	Drug Action	HMGCR;ACAT2;HMGCS1;MVK;PMVK;MVD;IDI1;FDPS;GGPS1;FDFT1;SQLE;LSS;DHCR24;CYP51A1;TM7SF2;MSMO1;NSDHL;HSD17B7;EBP;SC5DL;SOAT1;LIPA	HMDB0015227;HMDB0001206;HMDB0001484;HMDB0001423;HMDB0002111;HMDB0001375;HMDB0000227;HMDB0000538;HMDB0001343;HMDB0001341;HMDB0001090;HMDB0001429;HMDB0001347;HMDB0001967;HMDB0001120;HMDB0000547;HMDB0001285;HMDB0000250;HMDB0000961;HMDB0000221;HMDB0000256;HMDB0000217;HMDB0001377;HMDB0001188;HMDB0001248;HMDB0001251;HMDB0006839;HMDB0001023;HMDB0000142;HMDB0003178;HMDB0001286;HMDB0006840;HMDB0006927;HMDB0015531;HMDB0006838;HMDB0001217;HMDB0006271;HMDB0006842;HMDB0006841;HMDB0001170;HMDB0003896;HMDB0000032;HMDB0000067;HMDB0002719;HMDB0000876;HMDB0002027;HMDB0061373;HMDB0061374	
SMPDB	SMP0000131	Atorvastatin Action Pathway	Drug Action	HMGCR;ACAT2;HMGCS1;MVK;PMVK;MVD;IDI1;FDPS;GGPS1;FDFT1;SQLE;LSS;DHCR24;CYP51A1;TM7SF2;MSMO1;NSDHL;HSD17B7;EBP;SC5DL;SOAT1;LIPA	HMDB0005006;HMDB0001206;HMDB0001484;HMDB0001423;HMDB0002111;HMDB0001375;HMDB0000227;HMDB0000538;HMDB0001343;HMDB0001341;HMDB0001090;HMDB0001429;HMDB0001347;HMDB0001967;HMDB0001120;HMDB0000547;HMDB0001285;HMDB0000250;HMDB0000961;HMDB0000221;HMDB0000256;HMDB0000217;HMDB0001377;HMDB0001188;HMDB0001248;HMDB0001251;HMDB0006839;HMDB0001023;HMDB0000142;HMDB0003178;HMDB0001286;HMDB0006840;HMDB0006927;HMDB0015531;HMDB0006838;HMDB0001217;HMDB0006271;HMDB0006842;HMDB0006841;HMDB0001170;HMDB0003896;HMDB0000032;HMDB0000067;HMDB0002719;HMDB0000876;HMDB0002027;HMDB0061373;HMDB0061374	
SMPDB	SMP0000106	Meloxicam Action Pathway	Drug Action	PTGS2;CYP4F2;LTA4H;LTC4S;GGT1;GPX1;PTGIS;PTGDS;AKR1C3;TBXAS1;PTGES;CBR1;ALOX15;CYP2C8;CYP2B6;EPHX2;ALOX5;PTGS1;ALOX15B;CYP2E1;ALOX12B;CYP2J2;CYP2U1;CYP4A11;ALOX12;PLA2G4B;CYP4F8;CYP4F3	HMDB0014952;HMDB0003178;HMDB0001509;HMDB0006059;HMDB0001085;HMDB0000221;HMDB0001377;HMDB0000217;HMDB0002111;HMDB0001337;HMDB0001303;HMDB0004234;HMDB0000125;HMDB0001198;HMDB0003080;HMDB0000148;HMDB0061111;HMDB0004244;HMDB0003876;HMDB0003337;HMDB0004238;HMDB0005079;HMDB0002886;HMDB0004241;HMDB0011134;HMDB0010217;HMDB0002710;HMDB0001335;HMDB0001403;HMDB0001381;HMDB0011137;HMDB0001452;HMDB0001220;HMDB0001139;HMDB0002752;HMDB0060095;HMDB0003252;HMDB0004236;HMDB0004242;HMDB0001043;HMDB0012943;HMDB0004693;HMDB0004694;HMDB0005050;HMDB0004684;HMDB0004680;HMDB0004264;HMDB0002265;HMDB0000547;HMDB0004673;HMDB0002314;HMDB0011135;HMDB0000464;HMDB0003235;HMDB0002232;HMDB0002311;HMDB0002190;HMDB0002343;HMDB0004699;HMDB0011136;HMDB0004692;HMDB0004679;HMDB0004659;HMDB0005998;HMDB0004243;HMDB0061119;HMDB0013633;HMDB0061118;HMDB0007883;HMDB0010379;HMDB0061377;HMDB0061378	
SMPDB	SMP0000116	Valdecoxib Action Pathway	Drug Action	PTGS2;CYP4F2;LTA4H;LTC4S;GGT1;GPX1;PTGIS;PTGDS;AKR1C3;TBXAS1;PTGES;CBR1;ALOX15;CYP2C8;CYP2B6;EPHX2;ALOX5;PTGS1;ALOX15B;CYP2E1;ALOX12B;CYP2J2;CYP2U1;CYP4A11;ALOX12;PLA2G4B;CYP4F8;CYP4F3	HMDB0005033;HMDB0003178;HMDB0001509;HMDB0006059;HMDB0001085;HMDB0000221;HMDB0001377;HMDB0000217;HMDB0002111;HMDB0001337;HMDB0001303;HMDB0004234;HMDB0000125;HMDB0001198;HMDB0003080;HMDB0000148;HMDB0061111;HMDB0004244;HMDB0003876;HMDB0003337;HMDB0004238;HMDB0005079;HMDB0002886;HMDB0004241;HMDB0011134;HMDB0010217;HMDB0002710;HMDB0001335;HMDB0001403;HMDB0001381;HMDB0011137;HMDB0001452;HMDB0001220;HMDB0001139;HMDB0002752;HMDB0060095;HMDB0003252;HMDB0004236;HMDB0004242;HMDB0001043;HMDB0012943;HMDB0004693;HMDB0004694;HMDB0005050;HMDB0004684;HMDB0004680;HMDB0004264;HMDB0002265;HMDB0000547;HMDB0004673;HMDB0002314;HMDB0011135;HMDB0000464;HMDB0003235;HMDB0002232;HMDB0002311;HMDB0002190;HMDB0002343;HMDB0004699;HMDB0011136;HMDB0004692;HMDB0004679;HMDB0004659;HMDB0005998;HMDB0004243;HMDB0061119;HMDB0013633;HMDB0061118;HMDB0007883;HMDB0010379;HMDB0061377;HMDB0061378	
SMPDB	SMP0000158	Candesartan Action Pathway	Drug Action	AGTR1;REN;AGT;ACE	HMDB0014934;HMDB0061196;HMDB0001035;HMDB0001303;HMDB0000492;HMDB0000037;HMDB0001980	
SMPDB	SMP0000159	Eprosartan Action Pathway	Drug Action	AGTR1;REN;AGT;ACE	HMDB0015014;HMDB0061196;HMDB0001035;HMDB0001303;HMDB0000492;HMDB0000037;HMDB0001980	
SMPDB	SMP0000160	Forasartan Action Pathway	Drug Action	AGTR1;REN;AGT;ACE	HMDB0015434;HMDB0061196;HMDB0001035;HMDB0001303;HMDB0000492;HMDB0000037;HMDB0001980	
SMPDB	SMP0000161	Irbesartan Action Pathway	Drug Action	AGTR1;REN;AGT;ACE	HMDB0015163;HMDB0061196;HMDB0001035;HMDB0001303;HMDB0000492;HMDB0000037;HMDB0001980	
SMPDB	SMP0000162	Losartan Action Pathway	Drug Action	AGTR1;REN;AGT;ACE	HMDB0014816;HMDB0061196;HMDB0001035;HMDB0001303;HMDB0000492;HMDB0000037;HMDB0001980	
SMPDB	SMP0000163	Olmesartan Action Pathway	Drug Action	AGTR1;REN;AGT;ACE	HMDB0014420;HMDB0061196;HMDB0001035;HMDB0001303;HMDB0000492;HMDB0000037;HMDB0001980	
SMPDB	SMP0000164	Telmisartan Action Pathway	Drug Action	AGTR1;REN;AGT;ACE	HMDB0015101;HMDB0061196;HMDB0001035;HMDB0001303;HMDB0000492;HMDB0000037;HMDB0001980	
SMPDB	SMP0000165	Valsartan Action Pathway	Drug Action	AGTR1;REN;AGT;ACE	HMDB0014323;HMDB0061196;HMDB0001035;HMDB0001303;HMDB0000492;HMDB0000037;HMDB0001980	
SMPDB	SMP0000260	Clopidogrel Action Pathway	Drug Action	P2RY12;ABCB1;CYP2B6;CYP2C9;CYP2C19;CYP3A4;CYP3A5;PON1;CYP1A2	HMDB0013929;HMDB0061272;HMDB0005011;HMDB0003178;HMDB0000464;HMDB0002111;HMDB0000538;HMDB0001341;HMDB0001429;HMDB0001377;HMDB0003125	
SMPDB	SMP0000261	Ticlopidine Action Pathway	Drug Action	P2RY12	HMDB0014353	
SMPDB	SMP0000262	Clomocycline Action Pathway	Drug Action		HMDB0014596;HMDB0000538;HMDB0000045;HMDB0000250;HMDB0001273;HMDB0000082;HMDB0000285;HMDB0001397;HMDB0000095;HMDB0000288;HMDB0000161;HMDB0000162;HMDB0000883;HMDB0000168;HMDB0000167;HMDB0000687;HMDB0003406;HMDB0000696;HMDB0000177;HMDB0000172	
SMPDB	SMP0000263	Cilostazol Action Pathway	Drug Action	PDE4D	HMDB0015297;HMDB0001303	
SMPDB	SMP0000264	Dipyridamole (Antiplatelet) Action Pathway	Drug Action	PDE4D	HMDB0015110;HMDB0001303	
SMPDB	SMP0000265	Abciximab Action Pathway	Drug Action	ITGA2B		
SMPDB	SMP0000266	Eptifibatide Action Pathway	Drug Action	ITGA2B		
SMPDB	SMP0000267	Tirofiban Action Pathway	Drug Action	ITGA2B	HMDB0014913	
SMPDB	SMP0000272	Enoxaparin Action Pathway	Drug Action	SERPINC1;F12;COL1A1;KLKB1;F9;F8;F5;F10;FGG;F13A1;PLG;PLAT;F7;VKORC1;GGCX	HMDB0015356;HMDB0000015;HMDB0000464;HMDB0002972;HMDB0004198	
SMPDB	SMP0000273	Fondaparinux Action Pathway	Drug Action	SERPINC1;F12;COL1A1;KLKB1;F9;F8;F5;F10;FGG;F13A1;PLG;PLAT;F7;VKORC1;GGCX	HMDB0014709;HMDB0000015;HMDB0000464;HMDB0002972;HMDB0004198	
SMPDB	SMP0000274	Heparin Action Pathway	Drug Action	SERPINC1;F12;COL1A1;KLKB1;F9;F8;F5;F10;FGG;F13A1;PLG;PLAT;F7;VKORC1;GGCX	HMDB0001394;HMDB0000015;HMDB0000464;HMDB0002972;HMDB0004198	
SMPDB	SMP0000275	Ardeparin Action Pathway	Drug Action	SERPINC1;F12;COL1A1;KLKB1;F9;F8;F5;F10;FGG;F13A1;PLG;PLAT;F7;VKORC1;GGCX	HMDB0014551;HMDB0000015;HMDB0000464;HMDB0002972;HMDB0004198	
SMPDB	SMP0000276	Argatroban Action Pathway	Drug Action	F12;COL1A1;KLKB1;F9;F8;F5;F10;FGG;F13A1;PLG;PLAT;F7;VKORC1;GGCX	HMDB0014423;HMDB0000015;HMDB0000464;HMDB0002972;HMDB0004198	
SMPDB	SMP0000277	Bivalirudin Action Pathway	Drug Action	F12;COL1A1;KLKB1;F9;F8;F5;F10;FGG;F13A1;PLG;PLAT;F7;VKORC1;GGCX	HMDB0000015;HMDB0000464;HMDB0002972;HMDB0004198	
SMPDB	SMP0000278	Lepirudin Action Pathway	Drug Action	F12;COL1A1;KLKB1;F9;F8;F5;F10;FGG;F13A1;PLG;PLAT;F7;VKORC1;GGCX	HMDB0000015;HMDB0000464;HMDB0002972;HMDB0004198	
SMPDB	SMP0000279	Ximelagatran Action Pathway	Drug Action	F12;COL1A1;KLKB1;F9;F8;F5;F10;FGG;F13A1;PLG;PLAT;F7;VKORC1;GGCX	HMDB0015603;HMDB0000464;HMDB0000015;HMDB0002972;HMDB0004198	
SMPDB	SMP0000280	Alteplase Action Pathway	Drug Action	PLG;F12;COL1A1;KLKB1;F9;F8;F5;F10;FGG;F13A1;PLAT;F7;VKORC1;GGCX	HMDB0000015;HMDB0000464;HMDB0002972;HMDB0004198	
SMPDB	SMP0000281	Anistreplase Action Pathway	Drug Action	PLG;F12;COL1A1;KLKB1;F9;F8;F5;F10;FGG;F13A1;PLAT;F7;VKORC1;GGCX	HMDB0000015;HMDB0000464;HMDB0002972;HMDB0004198	
SMPDB	SMP0000282	Streptokinase Action Pathway	Drug Action	PLG;F12;COL1A1;KLKB1;F9;F8;F5;F10;FGG;F13A1;PLAT;F7;VKORC1;GGCX	HMDB0000015;HMDB0000464;HMDB0002972;HMDB0004198	
SMPDB	SMP0000283	Tenecteplase Action Pathway	Drug Action	PLG;F12;COL1A1;KLKB1;F9;F8;F5;F10;FGG;F13A1;PLAT;F7;VKORC1;GGCX	HMDB0000015;HMDB0000464;HMDB0002972;HMDB0004198	
SMPDB	SMP0000284	Urokinase Action Pathway	Drug Action	PLG;F12;COL1A1;KLKB1;F9;F8;F5;F10;FGG;F13A1;PLAT;F7;VKORC1;GGCX	HMDB0000015;HMDB0000464;HMDB0002972;HMDB0004198	
SMPDB	SMP0000285	Reteplase Action Pathway	Drug Action	PLG;F12;COL1A1;KLKB1;F9;F8;F5;F10;FGG;F13A1;PLAT;F7;VKORC1;GGCX	HMDB0000015;HMDB0000464;HMDB0002972;HMDB0004198	
SMPDB	SMP0000286	Aminocaproic Acid Action Pathway	Drug Action	PLG;F12;COL1A1;KLKB1;F9;F8;F5;F10;FGG;F13A1;PLAT;F7;VKORC1;GGCX	HMDB0001901;HMDB0000015;HMDB0000464;HMDB0002972;HMDB0004198	
SMPDB	SMP0000287	Tranexamic Acid Action Pathway	Drug Action	PLG;F12;COL1A1;KLKB1;F9;F8;F5;F10;FGG;F13A1;PLAT;F7;VKORC1;GGCX	HMDB0014447;HMDB0000015;HMDB0000464;HMDB0002972;HMDB0004198	
SMPDB	SMP0000288	Aprotinin Action Pathway	Drug Action	PLG;F12;COL1A1;KLKB1;F9;F8;F5;F10;FGG;F13A1;PLAT;F7;VKORC1;GGCX	HMDB0000015;HMDB0000464;HMDB0002972;HMDB0004198	
SMPDB	SMP0000268	Warfarin Action Pathway	Drug Action	VKORC1;F12;COL1A1;KLKB1;F9;F8;F5;F10;FGG;F13A1;PLG;PLAT;F7;GGCX	HMDB0001935;HMDB0000015;HMDB0000464;HMDB0002972;HMDB0004198	
SMPDB	SMP0000269	Acenocoumarol Action Pathway	Drug Action	VKORC1;F12;COL1A1;KLKB1;F9;F8;F5;F10;FGG;F13A1;PLG;PLAT;F7;GGCX	HMDB0015487;HMDB0000015;HMDB0000464;HMDB0002972;HMDB0004198	
SMPDB	SMP0000270	Dicumarol Action Pathway	Drug Action	VKORC1;F12;COL1A1;KLKB1;F9;F8;F5;F10;FGG;F13A1;PLG;PLAT;F7;GGCX	HMDB0014411;HMDB0000015;HMDB0000464;HMDB0002972;HMDB0004198	
SMPDB	SMP0000271	Phenprocoumon Action Pathway	Drug Action	VKORC1;F12;COL1A1;KLKB1;F9;F8;F5;F10;FGG;F13A1;PLG;PLAT;F7;GGCX	HMDB0015081;HMDB0000015;HMDB0000464;HMDB0002972;HMDB0004198	
SMPDB	SMP0000225	Esomeprazole Action Pathway	Drug Action	ATP4B;ATP4A;CLIC2;SLC26A3;CA1;HRH2;CCKBR;SST;CHRM3	HMDB0061273;HMDB0014874;HMDB0059597;HMDB0000595;HMDB0000492;HMDB0002111;HMDB0001967;HMDB0001303;HMDB0000538;HMDB0000586;HMDB0001341;HMDB0001429;HMDB0000870;HMDB0000895	
